Date,Country,Confirmed,Death
2020/5/1,Japan,14281,432
2020/5/1,Korea,10774,248
2020/4/30,Japan,14088,415
2020/4/30,Korea,10765,247
2020/4/29,Japan,13852,389
2020/4/29,Korea,10761,246
2020/4/28,Japan,13576,376
2020/4/28,Korea,10752,244
2020/4/27,Japan,13385,351
2020/4/27,Korea,10738,243
2020/4/26,Japan,13182,348
2020/4/26,Korea,10728,242
2020/4/25,Japan,12829,334
2020/4/25,Korea,10718,240
2020/4/24,Japan,12388,317
2020/4/24,Korea,10708,240
2020/4/23,Japan,11919,287
2020/4/23,Korea,10702,240
2020/4/22,Japan,11496,277
2020/4/22,Korea,10694,238
2020/4/21,Japan,11119,186
2020/4/21,Korea,10683,237
2020/4/20,Japan,10751,171
2020/4/20,Korea,10674,236
2020/4/19,Japan,10361,161
2020/4/19,Korea,10661,234
2020/4/18,Japan,9795,154
2020/4/18,Korea,10653,232
2020/4/17,Japan,9167,148
2020/4/17,Korea,10635,230
2020/4/16,Japan,8582,136
2020/4/16,Korea,10613,229
2020/4/15,Japan,8100,119
2020/4/15,Korea,10591,225
2020/4/14,Japan,7645,109
2020/4/14,Korea,10564,222
2020/4/13,Japan,7255,102
2020/4/13,Korea,10537,217
2020/4/12,Japan,6748,98
2020/4/12,Korea,10512,214
2020/4/11,Japan,6005,94
2020/4/11,Korea,10480,211
2020/4/10,Japan,5347,88
2020/4/10,Korea,10450,208
2020/4/9,Japan,4768,85
2020/4/9,Korea,10423,204
2020/4/8,Japan,4257,81
2020/4/8,Korea,10384,200
2020/4/7,Japan,3906,80
2020/4/7,Korea,10331,192
2020/4/6,Japan,3654,73
2020/4/6,Korea,10284,186
2020/4/5,Japan,3271,70
2020/4/5,Korea,10237,183
2020/4/4,Japan,2920,69
2020/4/4,Korea,10156,177
2020/4/3,Japan,2617,65
2020/4/3,Korea,10062,174
2020/4/2,Japan,2384,57
2020/4/2,Korea,9975,169
2020/4/1,Japan,2178,57
2020/4/1,Korea,9887,165
2020/3/31,Japan,1953,56
2020/3/31,Korea,9786,162
2020/3/30,Japan,1866,54
2020/3/30,Korea,9661,158
2020/3/29,Japan,1693,52
2020/3/29,Korea,9583,152
2020/3/28,Japan,1499,49
2020/3/28,Korea,9478,144
2020/3/27,Japan,1387,46
2020/3/27,Korea,9322,139
2020/3/26,Japan,1291,45
2020/3/26,Korea,9241,131
2020/3/25,Japan,1193,43
2020/3/25,Korea,9137,126
2020/3/24,Japan,1128,42
2020/3/24,Korea,9037,120
2020/3/23,Japan,1089,41
2020/3/23,Korea,8961,111
2020/3/22,Japan,,
2020/3/22,Korea,,
2020/3/21,Japan,1046,36
2020/3/21,Korea,8897,104
2020/3/20,Japan,996,35
2020/3/20,Korea,8799,102
2020/3/19,Japan,950,33
2020/3/19,Korea,8652,96
2020/3/18,Japan,829,28
2020/3/18,Korea,8320,81
2020/3/17,Japan,829,28
2020/3/17,Korea,8320,81
2020/3/16,Japan,814,24
2020/3/16,Korea,8236,75
2020/3/15,Japan,780,22
2020/3/15,Korea,8162,75
2020/3/14,Japan,716,21
2020/3/14,Korea,8086,72
2020/3/13,Japan,675,19
2020/3/13,Korea,7979,66
2020/3/12,Japan,620,15
2020/3/12,Korea,7869,66
2020/3/11,Japan,568,12
2020/3/11,Korea,7755,60
2020/3/10,Japan,514,9
2020/3/10,Korea,7513,54
2020/3/9,Japan,488,7
2020/3/9,Korea,7382,51
2020/3/8,Japan,455,6
2020/3/8,Korea,7134,50
2020/3/7,Japan,408,6
2020/3/7,Korea,6767,44
2020/3/6,Japan,349,6
2020/3/6,Korea,6284,42
2020/3/5,Japan,317,6
2020/3/5,Korea,5766,35
2020/3/4,Japan,284,6
2020/3/4,Korea,5328,32
2020/3/3,Japan,268,6
2020/3/3,Korea,4812,28
2020/3/2,Japan,254,6
2020/3/2,Korea,4212,22
2020/3/1,Japan,239,5
2020/3/1,Korea,3736,18
2020/2/29,Japan,230,5
2020/2/29,Korea,3150,17
2020/2/28,Japan,210,4
2020/2/28,Korea,2337,13
2020/2/27,Japan,186,3
2020/2/27,Korea,1766,13
2020/2/26,Japan,164,1
2020/2/26,Korea,1261,12
2020/2/25,Japan,157,1
2020/2/25,Korea,977,10
2020/2/24,Japan,144,1
2020/2/24,Korea,763,7
2020/2/23,Japan,132,1
2020/2/23,Korea,602,5
2020/2/22,Japan,105,1
2020/2/22,Korea,345,2
2020/2/21,Japan,93,1
2020/2/21,Korea,204,1
2020/2/20,Japan,85,1
2020/2/20,Korea,104,1
2020/2/19,Japan,73,1
2020/2/19,Korea,51,0
2020/2/18,Japan,65,1
2020/2/18,Korea,31,0
2020/2/17,Japan,59,1
2020/2/17,Korea,30,0
2020/2/16,Japan,53,1
2020/2/16,Korea,29,0
2020/2/15,Japan,41,1
2020/2/15,Korea,28,0
2020/2/14,Japan,33,1
2020/2/14,Korea,28,0
2020/2/13,Japan,29,0
2020/2/13,Korea,28,0
2020/2/12,Japan,28,0
2020/2/12,Korea,28,0
2020/2/11,Japan,26,0
2020/2/11,Korea,28,0
2020/2/10,Japan,26,0
2020/2/10,Korea,27,0
2020/2/9,Japan,26,0
2020/2/9,Korea,27,0
2020/2/8,Japan,25,0
2020/2/8,Korea,24,0
2020/2/7,Japan,25,0
2020/2/7,Korea,24,0
2020/2/6,Japan,25,0
2020/2/6,Korea,23,0
