Date,Confirmed,Death
2020/3/17,187,12
2020/3/16,140,12
2020/3/15,111,6
2020/3/14,64,2
2020/3/13,52,2
2020/3/12,52,2
2020/3/11,49,1
2020/3/10,33,1
2020/3/9,10,1
2020/3/8,6,1
2020/3/7,5,1
2020/3/6,5,1
2020/3/5,3,1
2020/3/4,3,1
2020/3/3,3,1
2020/3/2,3,1
2020/3/1,3,1
2020/2/29,3,1
2020/2/28,3,1
2020/2/27,3,0
2020/2/26,3,0
2020/2/25,3,0
2020/2/24,3,0
2020/2/23,3,0
2020/2/22,3,0
2020/2/21,3,0
2020/2/20,3,0
2020/2/19,3,0
2020/2/18,3,0
2020/2/17,3,0
2020/2/16,3,0
2020/2/15,3,0
2020/2/14,3,0
2020/2/13,3,0
2020/2/12,3,0
2020/2/11,3,0
