Date,Confirmed,Death
2020/3/17,1547,55
2020/3/16,1395,35
2020/3/15,1144,21
2020/3/14,802,10
2020/3/13,594,8
2020/3/12,406,6
2020/3/11,373,6
2020/3/10,323,3
2020/3/9,277,2
2020/3/8,210,2
2020/3/7,167,1
2020/3/6,118,0
2020/3/5,89,0
2020/3/4,51,0
2020/3/3,39,0
2020/3/2,36,0
2020/3/1,23,0
2020/2/29,20,0
2020/2/28,16,0
2020/2/27,13,0
2020/2/26,13,0
2020/2/25,13,0
2020/2/24,9,0
2020/2/23,9,0
2020/2/22,9,0
2020/2/21,9,0
2020/2/20,9,0
2020/2/19,9,0
2020/2/18,9,0
2020/2/17,9,0
2020/2/16,9,0
2020/2/15,9,0
2020/2/14,9,0
2020/2/13,9,0
2020/2/12,8,0
2020/2/11,8,0
2020/2/10,4,0
2020/2/9,3,0
2020/2/8,3,0
2020/2/7,3,0
2020/2/6,2,0
2020/2/5,2,0
2020/2/4,2,0
2020/2/3,2,0
2020/2/2,2,0
2020/2/1,2,0
