Area,Date,Confirmed,Death
Switzerland,2020/3/19,3010,21
Belgium,2020/3/19,1486,14
Japan,2020/3/19,873,29
Netherlands,2020/3/19,2051,58
UK,2020/3/19,2630,103
Philippines,2020/3/19,187,14
Denmark,2020/3/19,1044,4
Germany,2020/3/19,8198,13
Switzerland,2020/3/18,2650,19
Belgium,2020/3/18,1486,14
Japan,2020/3/18,829,28
Netherlands,2020/3/18,1705,43
UK,2020/3/18,1954,60
Philippines,2020/3/18,187,12
Denmark,2020/3/18,977,4
Germany,2020/3/18,7156,13
Belgium,2020/3/17,1085,5
Belgium,2020/3/16,1085,5
Belgium,2020/3/15,689,0
Belgium,2020/3/14,599,0
Belgium,2020/3/13,314,0
Belgium,2020/3/12,314,0
Belgium,2020/3/11,267,0
Belgium,2020/3/10,239,0
Belgium,2020/3/9,200,0
Belgium,2020/3/8,169,0
Belgium,2020/3/7,109,0
Belgium,2020/3/6,50,0
Belgium,2020/3/5,23,0
Belgium,2020/3/4,8,0
Belgium,2020/3/3,8,0
Belgium,2020/3/2,1,0
Belgium,2020/3/1,1,0
Belgium,2020/2/29,1,0
Belgium,2020/2/28,1,0
Belgium,2020/2/27,1,0
Belgium,2020/2/26,1,0
Belgium,2020/2/25,1,0
Belgium,2020/2/24,1,0
Belgium,2020/2/23,1,0
Japan,2020/1/20,0,0
Japan,2020/1/21,1,0
Japan,2020/1/22,1,0
Japan,2020/1/23,1,0
Japan,2020/1/24,1,0
Japan,2020/1/25,3,0
Japan,2020/1/26,3,0
Japan,2020/1/27,4,0
Japan,2020/1/28,6,0
Japan,2020/1/29,7,0
Japan,2020/1/30,11,0
Japan,2020/1/31,14,0
Japan,2020/2/1,17,0
Japan,2020/2/2,20,0
Japan,2020/2/3,2,0
Japan,2020/2/4,20,0
Japan,2020/2/5,23,0
Japan,2020/2/6,25,0
Japan,2020/2/7,25,0
Japan,2020/2/8,25,0
Japan,2020/2/9,26,0
Japan,2020/2/10,26,0
Japan,2020/2/11,26,0
Japan,2020/2/12,28,0
Japan,2020/2/13,29,0
Japan,2020/2/14,33,1
Japan,2020/2/15,41,1
Japan,2020/2/16,53,1
Japan,2020/2/17,59,1
Japan,2020/2/18,65,1
Japan,2020/2/19,73,1
Japan,2020/2/20,85,1
Japan,2020/2/21,93,1
Japan,2020/2/22,105,1
Japan,2020/2/23,132,1
Japan,2020/2/24,144,1
Japan,2020/2/25,157,1
Japan,2020/2/26,164,1
Japan,2020/2/27,186,3
Japan,2020/2/28,210,4
Japan,2020/2/29,230,5
Japan,2020/3/1,239,5
Japan,2020/3/2,254,6
Japan,2020/3/3,268,6
Japan,2020/3/4,284,6
Japan,2020/3/5,313,6
Japan,2020/3/6,349,6
Japan,2020/3/7,408,6
Japan,2020/3/8,455,6
Japan,2020/3/9,488,7
Japan,2020/3/10,514,9
Japan,2020/3/11,568,12
Japan,2020/3/12,620,15
Japan,2020/3/13,675,19
Japan,2020/3/14,716,21
Japan,2020/3/15,780,22
Japan,2020/3/16,814,24
Japan,2020/3/17,829,28
Netherlands,2020/2/27,0,0
Netherlands,2020/2/28,1,0
Netherlands,2020/2/29,2,0
Netherlands,2020/3/1,7,0
Netherlands,2020/3/2,13,0
Netherlands,2020/3/3,18,0
Netherlands,2020/3/4,28,0
Netherlands,2020/3/5,38,0
Netherlands,2020/3/6,82,0
Netherlands,2020/3/7,128,1
Netherlands,2020/3/8,188,1
Netherlands,2020/3/9,265,3
Netherlands,2020/3/10,321,3
Netherlands,2020/3/11,382,4
Netherlands,2020/3/12,503,5
Netherlands,2020/3/13,614,5
Netherlands,2020/3/14,804,10
Netherlands,2020/3/15,959,12
Netherlands,2020/3/16,1135,20
Netherlands,2020/3/17,1413,24
Philippines,2020/3/17,187,12
Philippines,2020/3/16,140,12
Philippines,2020/3/15,111,6
Philippines,2020/3/14,64,2
Philippines,2020/3/13,52,2
Philippines,2020/3/12,52,2
Philippines,2020/3/11,49,1
Philippines,2020/3/10,33,1
Philippines,2020/3/9,10,1
Philippines,2020/3/8,6,1
Philippines,2020/3/7,5,1
Philippines,2020/3/6,5,1
Philippines,2020/3/5,3,1
Philippines,2020/3/4,3,1
Philippines,2020/3/3,3,1
Philippines,2020/3/2,3,1
Philippines,2020/3/1,3,1
Philippines,2020/2/29,3,1
Philippines,2020/2/28,3,1
Philippines,2020/2/27,3,0
Philippines,2020/2/26,3,0
Philippines,2020/2/25,3,0
Philippines,2020/2/24,3,0
Philippines,2020/2/23,3,0
Philippines,2020/2/22,3,0
Philippines,2020/2/21,3,0
Philippines,2020/2/20,3,0
Philippines,2020/2/19,3,0
Philippines,2020/2/18,3,0
Philippines,2020/2/17,3,0
Philippines,2020/2/16,3,0
Philippines,2020/2/15,3,0
Philippines,2020/2/14,3,0
Philippines,2020/2/13,3,0
Philippines,2020/2/12,3,0
Philippines,2020/2/11,3,0
Switzerland,2020/3/17,2200,14
Switzerland,2020/3/16,2200,13
Switzerland,2020/3/15,1359,11
Switzerland,2020/3/14,1125,6
Switzerland,2020/3/13,858,6
Switzerland,2020/3/12,645,4
Switzerland,2020/3/11,491,3
Switzerland,2020/3/10,332,2
Switzerland,2020/3/9,332,2
Switzerland,2020/3/8,264,2
Switzerland,2020/3/7,209,1
Switzerland,2020/3/6,86,1
Switzerland,2020/3/5,56,0
Switzerland,2020/3/4,37,0
Switzerland,2020/3/3,30,0
Switzerland,2020/3/2,24,0
Switzerland,2020/3/1,18,0
Switzerland,2020/2/29,12,0
Switzerland,2020/2/28,7,0
Switzerland,2020/2/27,2,0
Switzerland,2020/2/26,1,0
Switzerland,2020/2/25,0,0
UK,2020/3/17,1547,55
UK,2020/3/16,1395,35
UK,2020/3/15,1144,21
UK,2020/3/14,802,10
UK,2020/3/13,594,8
UK,2020/3/12,406,6
UK,2020/3/11,373,6
UK,2020/3/10,323,3
UK,2020/3/9,277,2
UK,2020/3/8,210,2
UK,2020/3/7,167,1
UK,2020/3/6,118,0
UK,2020/3/5,89,0
UK,2020/3/4,51,0
UK,2020/3/3,39,0
UK,2020/3/2,36,0
UK,2020/3/1,23,0
UK,2020/2/29,20,0
UK,2020/2/28,16,0
UK,2020/2/27,13,0
UK,2020/2/26,13,0
UK,2020/2/25,13,0
UK,2020/2/24,9,0
UK,2020/2/23,9,0
UK,2020/2/22,9,0
UK,2020/2/21,9,0
UK,2020/2/20,9,0
UK,2020/2/19,9,0
UK,2020/2/18,9,0
UK,2020/2/17,9,0
UK,2020/2/16,9,0
UK,2020/2/15,9,0
UK,2020/2/14,9,0
UK,2020/2/13,9,0
UK,2020/2/12,8,0
UK,2020/2/11,8,0
UK,2020/2/10,4,0
UK,2020/2/9,3,0
UK,2020/2/8,3,0
UK,2020/2/7,3,0
UK,2020/2/6,2,0
UK,2020/2/5,2,0
UK,2020/2/4,2,0
UK,2020/2/3,2,0
UK,2020/2/2,2,0
UK,2020/2/1,2,0
Denmark,2020/3/17,960,3
Denmark,2020/3/16,898,1
Denmark,2020/3/15,827,0
Denmark,2020/3/14,801,0
Denmark,2020/3/13,674,0
Denmark,2020/3/12,615,0
Denmark,2020/3/11,262,0
Denmark,2020/3/10,90,0
Denmark,2020/3/9,36,0
Denmark,2020/3/8,31,0
Denmark,2020/3/7,23,0
Denmark,2020/3/6,18,0
Denmark,2020/3/5,10,0
Denmark,2020/3/4,8,0
Denmark,2020/3/3,5,0
Denmark,2020/3/2,4,0
Denmark,2020/3/1,3,0
Denmark,2020/2/29,2,0
Denmark,2020/2/28,1,0
Denmark,2020/2/27,1,0
Denmark,2020/2/26,0,0
Germany,2020/3/17,6012,13
Germany,2020/3/16,4838,12
Germany,2020/3/15,3795,8
Germany,2020/3/14,3062,6
Germany,2020/3/13,2369,6
Germany,2020/3/12,1567,3
Germany,2020/3/11,1296,2
